Temperature,Duration,Taste
185.32,12.69,1.
259.92,11.87,0.
231.01,14.41,0.
175.37,11.72,0.
187.12,14.13,1.
225.91,12.1,1.
208.41,14.18,0.
207.08,14.03,0.
280.60,14.23,0.
202.87,12.25,1.
196.70,13.54,1.
270.31,14.6,0.
192.95,15.2,0.
213.57,14.28,0.
164.47,11.92,0.
177.26,15.04,0.
241.77,14.9,0.
237.00,13.13,0.
219.74,13.87,0.
266.39,13.25,0.
270.45,13.95,0.
261.96,13.49,0.
243.49,12.86,0.
220.58,12.36,1.
163.59,11.65,0.
244.76,13.33,0.
271.19,14.84,0.
201.99,15.39,0.
229.93,14.56,0.
204.97,12.28,1.
173.19,12.22,0.
231.51,11.95,0.
152.69,14.83,0.
163.42,13.3,0.
215.95,13.98,0.
218.04,15.25,0.
251.30,13.8,0.
233.33,13.53,0.
280.24,12.41,0.
243.02,13.72,0.
155.67,12.68,0.
275.17,14.64,0.
151.73,12.69,0.
151.32,14.81,0.
164.90,11.73,0.
282.55,13.28,0.
192.98,11.7,0.
202.60,12.96,1.
220.67,11.53,0.
169.97,12.34,0.
209.47,12.71,1.
232.80,12.64,1.
272.80,15.35,0.
158.02,12.34,0.
226.01,14.58,0.
158.64,12.24,0.
211.66,14.17,0.
271.95,14.97,0.
257.16,11.71,0.
281.85,13.96,0.
161.63,12.52,0.
233.80,13.04,0.
210.29,14.72,0.
261.24,13.69,0.
256.98,13.12,0.
281.56,13.92,0.
280.64,11.68,0.
269.16,13.74,0.
246.34,12.27,1.
224.07,12.66,1.
164.24,11.51,0.
272.42,14.18,0.
177.68,12.53,1.
212.86,14.77,0.
165.88,15.37,0.
277.43,12.48,0.
236.51,12.94,0.
244.14,11.85,0.
213.45,13.85,0.
234.57,14.27,0.
270.34,12.47,0.
170.68,13.06,0.
226.79,15.34,0.
245.92,14.45,0.
281.32,12.57,0.
185.03,13.19,1.
189.88,14.1,1.
278.48,12.11,0.
219.92,14.21,0.
216.58,15.15,0.
249.48,15.03,0.
165.09,12.28,0.
158.87,14.82,0.
279.98,11.56,0.
256.55,14.41,0.
272.61,12.58,0.
246.49,12.45,0.
160.26,14.48,0.
155.70,14.3,0.
188.27,13.45,1.
270.36,12.47,0.
213.22,12.92,1.
175.70,13.39,1.
174.52,14.7,0.
233.00,12.63,1.
281.37,12.88,0.
240.62,14.43,0.
185.81,11.55,0.
270.50,15.33,0.
172.98,12.11,0.
208.41,13.89,0.
283.51,15.35,0.
283.36,12.48,0.
230.85,13.24,0.
181.24,11.76,0.
172.78,12.93,0.
161.88,12.1,0.
156.03,13.99,0.
216.52,12.47,1.
221.06,13.2,1.
238.99,15.23,0.
197.69,14.08,0.
179.55,15.26,0.
233.39,12.13,1.
184.70,12.14,1.
174.18,12.73,0.
261.11,13.33,0.
187.42,13.18,1.
186.10,14.43,0.
157.94,12.66,0.
193.64,12.23,1.
249.65,12.22,0.
190.56,11.73,0.
252.00,12.96,0.
238.55,12.37,1.
152.94,12.79,0.
255.17,14.85,0.
197.09,14.89,0.
156.80,13.59,0.
184.75,13.26,1.
179.92,15.07,0.
190.79,15.28,0.
164.73,13.22,0.
209.87,14.34,0.
196.58,13.47,1.
159.51,12.74,0.
247.87,11.92,0.
212.44,12.45,1.
172.34,11.99,0.
259.87,14.25,0.
201.23,13.07,1.
248.34,13.92,0.
273.66,15.18,0.
215.09,14.14,0.
223.53,12.74,1.
211.22,14.38,0.
224.61,14.03,0.
215.75,15.31,0.
254.82,12.02,0.
259.90,15.17,0.
260.25,12.87,0.
199.67,12.47,1.
157.52,13.39,0.
264.81,14.58,0.
239.40,14.89,0.
238.98,12.39,1.
258.43,12.97,0.
270.16,12.81,0.
162.41,14.42,0.
164.53,14.98,0.
205.61,14.62,0.
157.10,13.68,0.
241.38,12.02,1.
232.13,12.07,1.
191.04,12.96,1.
233.64,12.02,1.
174.95,14.63,0.
246.64,13.32,0.
188.07,14.27,1.
213.16,12.75,1.
268.08,12.31,0.
258.58,13.97,0.
237.21,14.23,0.
251.02,15.02,0.
274.28,12.52,0.
172.12,15.09,0.
177.52,12.39,1.
258.71,15.36,0.
264.01,13.57,0.
200.71,15.45,0.
249.37,14.02,0.
151.50,12.28,0.
151.82,15.13,0.
181.92,12.18,1.
228.65,12.31,1.
223.78,15.3,0.
266.63,12.48,0.
273.68,13.1,0.
220.61,12.8,1.
284.99,12.73,0.
